"Burbank"
"Annual - Departments"
"Download generated on 08/17/2026"

"","2023-24 Budget","June 2023-24 Actual","2024-25 Budget","June 2024-25 Actual (Audited)","2025-26 Budget","May 2025-26 Actual","2026-27 Budget"
"Burbank Water and Power"," 415,183,909"," 279,490,205"," 426,210,449"," 327,485,399"," 532,080,245"," 313,260,758"," 502,614,369"
"Public Works"," 186,887,768"," 87,094,596"," 184,246,584"," 88,436,489"," 200,910,462"," 91,423,911"," 141,032,307"
"Police"," 81,582,587"," 71,898,688"," 86,590,803"," 80,561,615"," 84,709,257"," 73,840,248"," 79,592,692"
"Community Development"," 95,619,693"," 57,191,504"," 95,117,956"," 53,118,236"," 98,391,813"," 49,921,710"," 59,456,780"
"Fire"," 59,016,022"," 54,322,978"," 62,384,224"," 53,720,931"," 56,692,318"," 52,937,052"," 60,284,597"
"Parks and Recreation"," 59,259,056"," 38,931,757"," 67,750,448"," 41,771,557"," 71,582,194"," 38,797,913"," 60,327,016"
"Management Services"," 32,332,558"," 25,838,494"," 34,365,145"," 26,578,555"," 36,387,791"," 26,159,976"," 37,566,953"
"Non-Departmental"," 20,027,247"," 14,314,793"," 24,198,383"," 16,782,053"," 28,106,925"," 23,620,486"," 11,792,161"
"Information Technology"," 19,161,975"," 11,201,310"," 22,574,791"," 14,258,811"," 25,707,348"," 14,260,131"," 20,626,194"
"Library"," 11,586,414"," 9,238,982"," 11,613,243"," 10,202,349"," 12,692,428"," 10,163,292"," 13,208,417"
"City Attorney"," 5,577,897"," 4,219,439"," 6,603,282"," 4,743,044"," 6,935,562"," 4,834,781"," 7,528,764"
"Financial Services"," 6,001,848"," 1,864,644"," 6,207,655"," 1,782,309"," 6,530,052"," 1,485,377"," 6,807,024"
"City Manager"," 3,573,779"," 1,740,470"," 3,594,672"," 1,540,013"," 4,244,210"," 2,128,850"," 4,468,845"
"City Clerk"," 2,789,403"," 817,278"," 2,884,791"," 1,192,716"," 2,938,779"," 1,018,271"," 2,578,658"
"City Council"," 1,058,737"," 704,980"," 1,662,286"," 1,136,969"," 2,462,653"," 1,547,308"," 2,583,594"
"City Treasurer"," 1,038,292"," 164,676"," 1,197,486"," 211,702"," 1,262,113"," 243,063"," 1,195,069"

"Total"," 1,000,697,184"," 659,034,795"," 1,037,202,199"," 723,522,747"," 1,171,634,148"," 705,643,129"," 1,011,663,440"
