CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
82068360,2023,2023-05-15,1925,2023-05-03,1409,27629,233,3,5,6,1925,0,0,0,,0,004,"GLENDALE AVENUE","E/B 134 FWY EXIT",23.00,N,N,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",GLENDALE,,
82069530,2023,2023-05-16,1925,2023-05-03,2110,29270,0144,3,5,6,1925,0,0,0,,0,004,"MELWOOD DRIVE","CAVANAGH ROAD",50.00,W,N,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,B,E,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.167568206787109,-118.24787902832031,"LOS ANGELES",GLENDALE,-118.24812316894531,34.167530059814453
82069539,2023,2023-05-16,1925,2023-05-04,1318,22783,263,4,5,6,1925,0,0,0,,0,002,BROADWAY,"KENILWORTH AVENUE",175.00,W,N,B,-,N,,,,,,,,,,N,4,0,1,3,A,-,08,22107,,M,B,E,E,A,H,-,A,D,0,Y,,,,Y,,A,07,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES",GLENDALE,-118.26656341552734,34.146808624267578
82072535,2023,2023-05-19,1925,2023-05-08,1103,22249,218,1,5,6,1925,0,0,0,,0,002,"PACIFIC AVENUE","CALIFORNIA AVENUE",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,2,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",GLENDALE,-118.26454162597656,34.149806976318359
82073635,2023,2023-05-22,1925,2023-05-06,1851,27016,173,6,5,6,1925,0,0,0,,0,001,"HIGHLAND AVENUE","GLENOAKS BOULEVARD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,4,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,4,0,0,0,0,0,0,"- ","- ",34.160850524902344,-118.27478790283203,"LOS ANGELES",GLENDALE,-118.27486419677734,34.160778045654297
82073637,2023,2023-05-22,1925,2023-05-08,"653 ",21092,226,1,5,6,1925,0,0,0,,0,002,"BRAND BOULEVARD","WILSON AVENUE",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",GLENDALE,-118.25495910644531,34.148059844970703
82073638,2023,2023-05-22,1925,2023-05-08,1438,21092,223,1,5,6,1925,0,0,0,,0,002,"BRAND BOULEVARD","SANCHEZ DRIVE",0.00,,Y,A,-,Y,,,,,,,,,,Y,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",GLENDALE,-118.25514221191406,34.155937194824219
82073640,2023,2023-05-22,1925,2023-05-09,2038,24810,189,2,5,6,1925,0,0,0,,0,001,"GLENWOOD ROAD","GRANDVIEW AVENUE (N)",500.00,W,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,08,22107,,N,B,E,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",34.168441772460938,-118.28038787841797,"LOS ANGELES",GLENDALE,,
82073833,2023,2023-05-22,1925,2023-05-09,"118 ",27896,,2,5,6,1925,0,0,0,,0,001,"WESTERN AVENUE","SAN FERNANDO ROAD",801.00,S,N,A,-,N,,,,,,,,,,N,4,0,3,2,A,-,03,22350,,F,C,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",34.168800354003906,-118.29215240478516,"LOS ANGELES",GLENDALE,-118.29395294189453,34.167160034179688
82074878,2023,2023-05-23,1925,2023-05-04,1329,26161,119,4,5,6,1925,0,0,0,,0,005,"PENNSYLVANIA AVENUE","MONTROSE AVENUE (N)",81.00,N,N,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,M,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.221748352050781,-118.24871826171875,"LOS ANGELES",GLENDALE,-118.24873352050781,34.221580505371094
