"Burbank"
"Building Documents"
"Download generated on 08/17/2026"
"https://ccpa.burbankca.gov/PublicAccess/cq-search/index.html"

Street No,Street Direction,Street Name,Permit No,Permit Type,Date Issued
3717,W,VICTORY BLVD,BS2209436,ACCESSORY DWELLING UNIT,7/19/2024
720,N,SCREENLAND DR,BS2412561,PLUMBING,12/23/2024
4311,,SARAH ST,BS2412576,MECHANICAL,12/23/2024
251,W,VERDUGO AVE,BS2412580,MECHANICAL,12/23/2024
251,W,VERDUGO AVE,BS2412581,MECHANICAL,12/23/2024
251,W,VERDUGO AVE,BS2412583,MECHANICAL,12/23/2024
251,W,VERDUGO AVE,BS2412584,MECHANICAL,12/23/2024
920,,KEMP ST,BS2412627,SINGLE-FAMILY REPAIR / MAINTENANCE,12/26/2024
122,S,SPARKS ST,BS2412633,SINGLE-FAMILY REPAIR / MAINTENANCE,12/26/2024
946,N,BRIGHTON ST,BS2412640,SINGLE-FAMILY REPAIR / MAINTENANCE,12/26/2024
4364,W,KLING ST,BS2412672,MECHANICAL,12/30/2024
118,S,BEACHWOOD DR,BS2412136,SINGLE-FAMILY REPAIR / MAINTENANCE,12/9/2024
711,N,FREDERIC ST,BS2412137,SINGLE-FAMILY REPAIR / MAINTENANCE,12/9/2024
1645,N,BUENA VISTA ST,BS2412138,SINGLE-FAMILY REPAIR / MAINTENANCE,12/9/2024
1330,N,MYERS ST,BS2412152,MECHANICAL,12/9/2024
1617,,CAMINO DE VILLAS,BS2412156,PLUMBING,12/9/2024
2100,N,PASS AVE,BS2412161,SINGLE-FAMILY REPAIR / MAINTENANCE,12/9/2024
807,N,ONTARIO ST,BS2412170,PLUMBING,12/9/2024
2007,N,VALLEY ST,BS2412191,PLUMBING,12/9/2024
711,N,BRIGHTON ST,BS2412192,ELECTRICAL,12/9/2024
3113,N,NAOMI ST,BS2412203,SINGLE-FAMILY REPAIR / MAINTENANCE,12/10/2024
525,S,BEL AIRE DR,BS2412219,ELECTRICAL,12/10/2024
531,S,BEACHWOOD DR,BS2412225,MECHANICAL,12/10/2024
853,,CLYBOURN AVE,BS2412243,ELECTRICAL,12/11/2024
3400,,RIVERSIDE DR,BS2412263,PLUMBING,12/11/2024
2030,,BONITA AVE,BS2412264,MECHANICAL,12/11/2024
238,W,CEDAR AVE,BS2412274,SINGLE-FAMILY REPAIR / MAINTENANCE,12/12/2024
3154,,JOLLEY DR,BS2412290,MECHANICAL,12/12/2024
